Got it! I will analyze the repository at [https://github.com/galacticcouncil/sdk/](https://github.com/galacticcouncil/sdk/) and extract all public methods within the `packages/sdk` directory. The output will include:

- Full method signatures (including class and method name)
- Parameter types and return types
- A concise explanation of what each method does, based on the method logic and code structure
- The results formatted as a Markdown table

I'll notify you once the analysis is complete.

**Public Methods of `@galacticcouncil/sdk`** (in `packages/sdk`):

| Method Signature | Description |
| --- | --- |
| `Router.getPools(): Promise<PoolBase[]>` | Retrieves all on-chain liquidity pools, via the configured `poolService`. If specific pool types are set in the router options, it filters to those; otherwise returns every available pool ([sdk/packages/sdk/src/api/Router.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/Router.ts#:~:text=async%20getPools%28%29%3A%20Promise)) ([sdk/packages/sdk/src/api/Router.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/Router.ts#:~:text=)). |
| `Router.getAllAssets(): Promise<Asset[]>` | Gathers all unique assets across all pools. Internally calls `getPools()` and then collects each pool’s tokens (throwing an error if no pools are found), returning a de-duplicated list of assets ([sdk/packages/sdk/src/api/Router.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/Router.ts#:~:text=async%20getAllAssets%28%29%3A%20Promise)) ([sdk/packages/sdk/src/api/Router.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/Router.ts#:~:text=,assets%20from%20substrate%20based%20pools)). |
| `Router.getAssetPairs(asset: string): Promise<Asset[]>` | Given an asset ID, returns all other assets that can be traded with it through available pools. It validates the asset is present in the pools, computes all direct and multi-hop swap paths from that asset, and returns the set of reachable destination assets ([sdk/packages/sdk/src/api/Router.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/Router.ts#:~:text=const%20pools%20%3D%20await%20this)) ([sdk/packages/sdk/src/api/Router.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/Router.ts#:~:text=const%20,validateToken%28asset%2C%20pools)). |
| `Router.getAllPaths(assetIn: string, assetOut: string): Promise<Hop[][]>` | Computes every possible swap path (sequence of pool “hops”) to go from `assetIn` to `assetOut`. It loads all pools, ensures both assets are supported, then uses an internal route-finding algorithm (`routeSuggester`) to generate all viable paths ([sdk/packages/sdk/src/api/Router.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/Router.ts#:~:text=async%20getAllPaths,Hop%5B%5D%5B%5D%3E)) ([sdk/packages/sdk/src/api/Router.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/Router.ts#:~:text=const%20,validateTokenPair%28assetIn%2C%20assetOut%2C%20pools)). |
| `TradeRouter.getBestSpotPrice(assetIn: string, assetOut: string): Promise<Amount \| undefined>` | Calculates the best spot price (price of 1 unit of `assetIn` in terms of `assetOut`) across all pools. It fetches all pools and possible paths, picks the most liquid route, simulates a minimal trade (`toSellSwaps('1')`), and multiplies the segment prices to derive the composite spot price (scaled to output asset’s decimals) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=const%20paths%20%3D%20super,poolsMap%2C%20pools)) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=const%20spotPrice%20%3D%20swaps)). Returns `undefined` if no route exists. |
| `TradeRouter.getBestSell(assetIn: string, assetOut: string, amountIn: BigNumber \| number \| string): Promise<Trade>` | Alias for `getSell(...)`. Finds the optimal way to sell a given amount of `assetIn` for `assetOut` (calls `getSell` internally) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=async%20getBestSell)). |
| `TradeRouter.getSell(assetIn: string, assetOut: string, amountIn: BigNumber \| number \| string, route?: Hop[]): Promise<Trade>` | Determines the best execution for selling `amountIn` of `assetIn` into `assetOut`. It loads pools and validates the pair, then finds all swap paths via `getPaths`. If a specific `route` is provided, it calculates that route’s outcome; otherwise it evaluates all possible routes (computing output for each via `toSellSwaps`) and selects the one yielding the highest output (`findBestSellRoute`) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=if%20%28route%29%20)) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=const%20routes%20%3D%20await%20Promise)). Returns a `Trade` object detailing the best trade (including amount out, spot price, etc.), or throws a `RouteNotFound` error if no path exists ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=const%20paths%20%3D%20super,poolsMap%2C%20pools)) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=pools)). |
| `TradeRouter.getBestBuy(assetIn: string, assetOut: string, amountOut: BigNumber \| number \| string): Promise<Trade>` | Alias for `getBuy(...)`. Finds the optimal way to buy a given amount of `assetOut` using `assetIn` (calls `getBuy` internally) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=async%20getBestBuy)). |
| `TradeRouter.getBuy(assetIn: string, assetOut: string, amountOut: BigNumber \| number \| string, route?: Hop[]): Promise<Trade>` | Determines the best execution for buying `amountOut` of `assetOut` using `assetIn`. It checks all pools and paths similar to `getSell`. If a particular `route` is specified, it computes the required input for that path via `toBuySwaps`; otherwise it computes all routes’ required inputs and selects the one with the smallest input cost (`findBestBuyRoute`) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=%7D%20else%20)) ([sdk/packages/sdk/src/api/TradeRouter.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/api/TradeRouter.ts#:~:text=)). Returns a `Trade` object with the trade details (including required `amountIn`, effective spot price, etc.), or throws `RouteNotFound` if no route can produce the desired output. |
